,cms_mtdtf_dcs_1:TK_PLCS/MTD/crate01/module03/channel_read_08.value.converted:_original.._value,
"2024/03/26 11:02:00.000",12.4536576638,
"2024/03/26 11:02:02.000",12.4717424816,
"2024/03/26 11:02:05.000",12.48530609495,
"2024/03/26 11:02:07.000",12.4717424816,
"2024/03/26 11:02:10.000",12.4898272994,
"2024/03/26 11:02:12.000",12.4988697083,
"2024/03/26 11:02:15.000",12.4898272994,
"2024/03/26 11:02:17.000",12.47626368605,
"2024/03/26 11:02:20.000",12.49434850385,
"2024/03/26 11:02:22.000",12.525996935,
"2024/03/26 11:02:25.000",12.53956054835,
"2024/03/26 11:02:30.000",12.5531241617,
"2024/03/26 11:02:32.000",12.56668777505,
"2024/03/26 11:02:35.000",12.5802513884,
"2024/03/26 11:02:37.000",12.5712089795,
"2024/03/26 11:02:40.000",12.56668777505,
"2024/03/26 11:02:42.000",12.58477259285,
"2024/03/26 11:02:47.000",12.59381500175,
"2024/03/26 11:02:50.000",12.5983362062,
"2024/03/26 11:02:52.000",12.59381500175,
"2024/03/26 11:02:55.000",12.60285741065,
"2024/03/26 11:02:57.000",12.62094222845,
"2024/03/26 11:03:05.000",12.61189981955,
"2024/03/26 11:03:07.000",12.62094222845,
"2024/03/26 11:03:10.000",12.63902704625,
"2024/03/26 11:03:12.000",12.62998463735,
"2024/03/26 11:03:15.000",12.6345058418,
"2024/03/26 11:03:17.000",12.64806945515,
"2024/03/26 11:03:20.000",12.65711186405,
"2024/03/26 11:03:22.000",12.6525906596,
"2024/03/26 11:03:25.000",12.6435482507,
"2024/03/26 11:03:27.000",12.67519668185,
"2024/03/26 11:03:30.000",12.6616330685,
"2024/03/26 11:03:32.000",12.6435482507,
"2024/03/26 11:03:37.000",12.6616330685,
"2024/03/26 11:03:40.000",12.6525906596,
"2024/03/26 11:03:42.000",12.65711186405,
"2024/03/26 11:03:45.000",12.66615427295,
"2024/03/26 11:03:47.000",12.6616330685,
"2024/03/26 11:03:50.000",12.65711186405,
"2024/03/26 11:03:52.000",12.6525906596,
"2024/03/26 11:03:57.000",12.63902704625,
"2024/03/26 11:04:00.000",12.62998463735,
"2024/03/26 11:04:02.000",12.6435482507,
"2024/03/26 11:04:07.000",12.64806945515,
"2024/03/26 11:04:10.000",12.65711186405,
"2024/03/26 11:04:12.000",12.6616330685,
"2024/03/26 11:04:15.000",12.65711186405,
"2024/03/26 11:04:17.000",12.6435482507,
"2024/03/26 11:04:22.000",12.67519668185,
"2024/03/26 11:04:25.000",12.6706754774,
"2024/03/26 11:04:30.000",12.67519668185,
"2024/03/26 11:04:32.000",12.68423909075,
"2024/03/26 11:04:35.000",12.6616330685,
"2024/03/26 11:04:37.000",12.6706754774,
"2024/03/26 11:04:40.000",12.67519668185,
"2024/03/26 11:04:42.000",12.6706754774,
"2024/03/26 11:04:45.000",12.67519668185,
"2024/03/26 11:04:47.000",12.6797178863,
"2024/03/26 11:04:52.000",12.67519668185,
"2024/03/26 11:04:55.000",12.68423909075,
"2024/03/26 11:04:57.000",12.6887602952,
"2024/03/26 11:05:00.000",12.6797178863,
"2024/03/26 11:05:02.000",12.68423909075,
"2024/03/26 11:05:05.000",12.67519668185,
"2024/03/26 11:05:07.000",12.6797178863,
"2024/03/26 11:05:10.000",12.67519668185,
"2024/03/26 11:05:12.000",12.6797178863,
"2024/03/26 11:05:17.000",12.6887602952,
"2024/03/26 11:05:20.000",12.68423909075,
"2024/03/26 11:05:22.000",12.6797178863,
"2024/03/26 11:05:27.000",12.68423909075,
"2024/03/26 11:05:30.000",12.6887602952,
"2024/03/26 11:05:32.000",12.68423909075,
"2024/03/26 11:05:35.000",12.6978027041,
"2024/03/26 11:05:37.000",12.69328149965,
"2024/03/26 11:05:40.000",12.68423909075,
"2024/03/26 11:05:42.000",12.6978027041,
"2024/03/26 11:05:45.000",12.71136631745,
"2024/03/26 11:05:47.000",12.70232390855,
"2024/03/26 11:05:52.000",12.69328149965,
"2024/03/26 11:05:55.000",12.6978027041,
"2024/03/26 11:05:57.000",12.706845113,
"2024/03/26 11:06:00.000",12.71136631745,
"2024/03/26 11:06:02.000",12.7158875219,
"2024/03/26 11:06:05.000",12.72945113525,
"2024/03/26 11:06:07.000",12.7430147486,
"2024/03/26 11:06:10.000",12.7339723397,
"2024/03/26 11:06:12.000",12.72945113525,
"2024/03/26 11:06:15.000",12.7249299308,
"2024/03/26 11:06:17.000",12.7339723397,
"2024/03/26 11:06:20.000",12.7430147486,
"2024/03/26 11:06:22.000",12.74753595305,
"2024/03/26 11:06:25.000",12.7520571575,
"2024/03/26 11:06:35.000",12.76562077085,
"2024/03/26 11:06:37.000",12.7701419753,
"2024/03/26 11:06:40.000",12.76562077085,
"2024/03/26 11:06:42.000",12.7791843842,
"2024/03/26 11:06:47.000",12.77466317975,
"2024/03/26 11:06:50.000",12.7882267931,
"2024/03/26 11:06:52.000",12.7791843842,
"2024/03/26 11:06:55.000",12.79274799755,
"2024/03/26 11:06:57.000",12.7882267931,
"2024/03/26 11:07:00.000",12.79274799755,
"2024/03/26 11:07:02.000",12.797269202,
"2024/03/26 11:07:05.000",12.8063116109,
"2024/03/26 11:07:12.000",12.8153540198,
"2024/03/26 11:07:15.000",12.8243964287,
"2024/03/26 11:07:17.000",12.8334388376,
"2024/03/26 11:07:20.000",12.83796004205,
"2024/03/26 11:07:22.000",12.8334388376,
"2024/03/26 11:07:25.000",12.84700245095,
"2024/03/26 11:07:27.000",12.85604485985,
"2024/03/26 11:07:32.000",12.86508726875,
"2024/03/26 11:07:35.000",12.8786508821,
"2024/03/26 11:07:37.000",12.86508726875,
"2024/03/26 11:07:40.000",12.887693291,
"2024/03/26 11:07:45.000",12.8967356999,
"2024/03/26 11:07:47.000",12.9057781088,
"2024/03/26 11:07:52.000",12.91934172215,
"2024/03/26 11:07:55.000",12.9329053355,
"2024/03/26 11:07:57.000",12.9238629266,
"2024/03/26 11:08:02.000",12.9329053355,
"2024/03/26 11:08:05.000",12.9238629266,
"2024/03/26 11:08:07.000",12.92838413105,
"2024/03/26 11:08:10.000",12.9419477444,
"2024/03/26 11:08:12.000",12.95551135775,
"2024/03/26 11:08:15.000",12.9419477444,
"2024/03/26 11:08:17.000",12.9509901533,
"2024/03/26 11:08:20.000",12.95551135775,
"2024/03/26 11:08:25.000",12.9600325622,
"2024/03/26 11:08:30.000",12.9419477444,
"2024/03/26 11:08:32.000",12.95551135775,
"2024/03/26 11:08:37.000",12.9600325622,
"2024/03/26 11:08:40.000",12.9690749711,
"2024/03/26 11:08:42.000",12.95551135775,
"2024/03/26 11:08:45.000",12.9600325622,
"2024/03/26 11:08:47.000",12.96455376665,
"2024/03/26 11:08:52.000",12.9690749711,
"2024/03/26 11:08:55.000",12.96455376665,
"2024/03/26 11:09:00.000",12.98263858445,
"2024/03/26 11:09:02.000",12.97359617555,
"2024/03/26 11:09:05.000",12.9690749711,
"2024/03/26 11:09:10.000",12.97359617555,
"2024/03/26 11:09:12.000",12.9600325622,
"2024/03/26 11:09:15.000",12.96455376665,
"2024/03/26 11:09:17.000",12.9690749711,
"2024/03/26 11:09:20.000",12.99168099335,
"2024/03/26 11:09:22.000",12.98263858445,
"2024/03/26 11:09:25.000",12.99168099335,
"2024/03/26 11:09:27.000",12.98263858445,
"2024/03/26 11:09:30.000",13.00072340225,
"2024/03/26 11:09:32.000",12.9962021978,
"2024/03/26 11:09:35.000",13.0052446067,
"2024/03/26 11:09:40.000",12.9962021978,
"2024/03/26 11:09:47.000",13.00072340225,
"2024/03/26 11:09:50.000",13.0052446067,
"2024/03/26 11:09:52.000",13.0142870156,
"2024/03/26 11:09:55.000",13.0052446067,
"2024/03/26 11:09:57.000",13.00072340225,
"2024/03/26 11:10:00.000",12.9962021978,
"2024/03/26 11:10:07.000",13.00072340225,
"2024/03/26 11:10:10.000",13.0052446067,
"2024/03/26 11:10:12.000",12.9962021978,
"2024/03/26 11:10:17.000",13.00072340225,
"2024/03/26 11:10:20.000",12.97811738,
"2024/03/26 11:10:22.000",12.99168099335,
"2024/03/26 11:10:25.000",12.9962021978,
"2024/03/26 11:10:27.000",12.97811738,
"2024/03/26 11:10:30.000",12.97359617555,
"2024/03/26 11:10:32.000",12.9871597889,
"2024/03/26 11:10:35.000",12.97811738,
"2024/03/26 11:10:42.000",12.96455376665,
"2024/03/26 11:10:45.000",12.97359617555,
"2024/03/26 11:10:47.000",12.96455376665,
"2024/03/26 11:10:55.000",12.95551135775,
"2024/03/26 11:10:57.000",12.9600325622,
"2024/03/26 11:11:02.000",12.95551135775,
"2024/03/26 11:11:05.000",12.9419477444,
"2024/03/26 11:11:07.000",12.9509901533,
"2024/03/26 11:11:10.000",12.94646894885,
"2024/03/26 11:11:12.000",12.95551135775,
"2024/03/26 11:11:15.000",12.96455376665,
"2024/03/26 11:11:17.000",12.9600325622,
"2024/03/26 11:11:20.000",12.97811738,
"2024/03/26 11:11:22.000",12.97359617555,
"2024/03/26 11:11:25.000",12.9690749711,
"2024/03/26 11:11:27.000",12.98263858445,
"2024/03/26 11:11:30.000",12.9690749711,
"2024/03/26 11:11:32.000",12.99168099335,
"2024/03/26 11:11:35.000",13.00072340225,
"2024/03/26 11:11:47.000",12.9962021978,
"2024/03/26 11:11:50.000",13.0052446067,
"2024/03/26 11:11:52.000",13.0233294245,
"2024/03/26 11:11:55.000",13.0323718334,
"2024/03/26 11:11:57.000",13.02785062895,
"2024/03/26 11:12:00.000",13.0233294245,
"2024/03/26 11:12:02.000",13.02785062895,
"2024/03/26 11:12:05.000",13.03689303785,
"2024/03/26 11:12:07.000",13.04593544675,
"2024/03/26 11:12:15.000",13.05497785565,
"2024/03/26 11:12:17.000",13.06402026455,
"2024/03/26 11:12:20.000",13.07306267345,
"2024/03/26 11:12:22.000",13.0866262868,
"2024/03/26 11:12:25.000",13.1137535135,
"2024/03/26 11:12:27.000",13.13635953575,
"2024/03/26 11:12:32.000",13.1408807402,
"2024/03/26 11:12:35.000",13.1499231491,
"2024/03/26 11:12:40.000",13.15444435355,
"2024/03/26 11:12:42.000",13.1770503758,
"2024/03/26 11:12:45.000",13.19965639805,
"2024/03/26 11:12:47.000",13.2132200114,
